year,counts,authors,inCitations,outCitations
1992,1,3,6,6
1993,2,3,14,9
1994,1,1,0,0
1995,1,2,98,31
1996,3,4,85,20
1997,3,8,39,31
1998,1,2,29,7
1999,2,11,36,32
2000,7,12,259,45
2001,6,18,153,47
2002,5,14,323,50
2004,2,5,36,1
2005,3,5,61,33
2006,9,22,90,104
2007,4,14,70,31
2008,2,6,5,7
2009,2,8,32,22
2010,5,17,28,65
2011,8,19,64,121
2012,3,6,3,11
2013,8,21,59,108
2014,4,9,8,89
2015,4,9,12,81
2016,9,34,11,183
