id,year,inCitations,author_id,author_name
850f97dcf08e33f74aec27bab0dfc9d848a44262,2015,0,1768999,Stephen J. Roberts
8643aec52d53794b1cdae8fed94ecc407ffe3457,2015,0,2961187,Adrian Groza
867c65d4f78ce36df6a89043d3e8fa8513d6373d,2016,0,3401039,Sinh Cong Lam
867c65d4f78ce36df6a89043d3e8fa8513d6373d,2016,0,2110422,Kumbesan Sandrasegaran
87222254be0f020847fe8418eaa6d2a9be1f5467,2015,2,1741126,Steven C. H. Hoi
87222254be0f020847fe8418eaa6d2a9be1f5467,2015,2,2791484,Xiongwei Wu
87222254be0f020847fe8418eaa6d2a9be1f5467,2015,2,2964145,Hantang Liu
87222254be0f020847fe8418eaa6d2a9be1f5467,2015,2,7136811,Yue Wu
87222254be0f020847fe8418eaa6d2a9be1f5467,2015,2,2214073,Huiqiong Wang
87222254be0f020847fe8418eaa6d2a9be1f5467,2015,2,5650180,Hui Xue
87222254be0f020847fe8418eaa6d2a9be1f5467,2015,2,1690519,Qiang Wu
874a9084fa4e1d7a126384439594f9e9a4fdc704,2016,0,2723965,Jamie Sikora
874a9084fa4e1d7a126384439594f9e9a4fdc704,2016,0,1774386,Antonios Varvitsiotis
874a9084fa4e1d7a126384439594f9e9a4fdc704,2016,0,3226603,Zhaohui Wei
884526a64ff9c22772f1c8896304135679be0b1e,2015,1,2523867,Andrea Burattin
88b082eb23b70ff09ff684717b0500b6d9814a34,2015,0,3393281,Ali Reihanian
88b082eb23b70ff09ff684717b0500b6d9814a34,2015,0,1786750,Behrouz Minaei-Bidgoli
88b082eb23b70ff09ff684717b0500b6d9814a34,2015,0,3161063,Muhammad Yousefnezhad
8b7e10c72ea4ae89731ef30040dd4547ed3b1c93,2013,0,1699223,Michael Fairbank
8dc7baa4b6214a5977a7826ed0301181c92b0f4f,2011,0,2603175,Mathieu Chouchane
8dc7baa4b6214a5977a7826ed0301181c92b0f4f,2011,0,1700543,Sébastien Paris
8dc7baa4b6214a5977a7826ed0301181c92b0f4f,2011,0,2555526,François Le Gland
8dc7baa4b6214a5977a7826ed0301181c92b0f4f,2011,0,1761163,Mustapha Ouladsine
8e27d8eeca0718e25a5ae2297acb86e679e5f9f2,2007,0,1791246,Jinshan Zhang
8e421c0eb069e61f93488d54cb5110a5e4b1f3e8,2012,0,1710525,Jun Fang
8e421c0eb069e61f93488d54cb5110a5e4b1f3e8,2012,0,1725898,Hongbin Li
8ea56e4697430d1dbc728bad5a6e8ebafcced835,2014,1,4875312,Jun He
8ea56e4697430d1dbc728bad5a6e8ebafcced835,2014,1,1704873,Yue Zhang
8ece8d4439fc932c92bc185c965987bf8064ac10,2008,3,1798424,Andrea Cerri
8ece8d4439fc932c92bc185c965987bf8064ac10,2008,3,1717431,Patrizio Frosini
8ee6b094a712bb0a290a3b054539b4e361b27ac5,1999,0,3257525,Neil J. Gunther
8fa439336f53ec066824ac1808f31030c10ba77b,2013,0,3488156,Aurélie Thébaut
8fa439336f53ec066824ac1808f31030c10ba77b,2013,0,3484470,Thibault Scholash
8fa439336f53ec066824ac1808f31030c10ba77b,2013,0,2669688,Brigitte Charnomordic
8fa439336f53ec066824ac1808f31030c10ba77b,2013,0,2234977,Nadine Hilgert
906f4fd412b2f854a346465014d8d95e9c2108ee,2016,1,2412559,Ehsaneddin Asgari
906f4fd412b2f854a346465014d8d95e9c2108ee,2016,1,7413127,Mohammad R. K. Mofrad
90de31ce91fe086875c9ec25fb68fa13cbe7ed40,2016,1,3409551,Ravi Kiran Raman
90de31ce91fe086875c9ec25fb68fa13cbe7ed40,2016,1,5572902,Lav Varshney
90eb147b29b0e7a31a2d9b75a0dcdb32e4ffa2af,2013,1,2441417,R. Jensi
90eb147b29b0e7a31a2d9b75a0dcdb32e4ffa2af,2013,1,2513646,G. Wiselin Jiji
92bd8427ea585e31ba453722cf24275d1c772a73,2015,0,2983266,Fateme Ghayem
92bd8427ea585e31ba453722cf24275d1c772a73,2015,0,6197463,Farrokh Marvasti
95128f471fa977a632ebda29531b5087fb041205,2010,4,3220586,Nazleeni S. Haron
95128f471fa977a632ebda29531b5087fb041205,2010,4,2243866,Nur S. Saleem
95128f471fa977a632ebda29531b5087fb041205,2010,4,2522470,Mohd H. Hasan
95128f471fa977a632ebda29531b5087fb041205,2010,4,1873319,Mazeyanti M. Ariffin
95128f471fa977a632ebda29531b5087fb041205,2010,4,2265252,Izzatdin A. Aziz
95674e383c82dbfcb213da766338dbf6db951182,2016,0,2194154,Sihua Shao
95674e383c82dbfcb213da766338dbf6db951182,2016,0,1750196,Abdallah Khreishah
95674e383c82dbfcb213da766338dbf6db951182,2016,0,3333511,Hany Elgala
97371d6d800cfbfab73785c1c5305cdcca4f055d,2014,0,1742288,Gunther Schmidt
97371d6d800cfbfab73785c1c5305cdcca4f055d,2014,0,6528728,Michael Winter
975ebfbb76e9bd733cdab758d9c9b13da4219ab7,2012,4,2193997,Abdelkrim Bouramoul
975ebfbb76e9bd733cdab758d9c9b13da4219ab7,2012,4,2662090,Mohamed-Khireddine Kholladi
975ebfbb76e9bd733cdab758d9c9b13da4219ab7,2012,4,2473482,Bich-Liên Doan
98236a766b8e14b5123e2e48ea30de93c91b548b,2014,0,3325529,Henning Basold
99e0decf8e151b5378c07ac60b568b1e5a370f9b,2016,0,1748594,Surender Baswana
99e0decf8e151b5378c07ac60b568b1e5a370f9b,2016,0,1977121,Keerti Choudhary
99e0decf8e151b5378c07ac60b568b1e5a370f9b,2016,0,1696906,Liam Roditty
