id,year,inCitations
00ddd57a836d26bde0a509aaf8e524f279fa2c0e,2005.0,[]
00f1dac0133b4bfcf4993ca25eeaaa4714a4e23b,2006.0,"['0238600b97812bc4d65385ac6dfa55eddc73430c', '585260adfa50cad171d4f37aa7ea698ca937230a', 'e19fed589a7f408a16658fadcf8ea1b9ca8a5fe3']"
019f83818663a71a6afbf07e5ae8da9b4d84c6e7,2015.0,[]
01ce61ecfac8a7daf969262e56e7a05cc5cfc82e,2014.0,"['f38da04f92e743f7ddecdc0a9a80dcde9db8c10a', '015b68b17158f7164e88695c64ea7d53ffc5f568']"
01e820ac6d67f5d3edb954b59a361f27f9aae2a2,2013.0,[]
0390e6f1a0680e1b169583905fc99030b7ce79c9,2015.0,['acdd45ba051cf53e0f87db76829313896c4e5e8b']
03e30fc3e921ff3b29439e773c85d071d12a5ff1,2014.0,"['347d90600df29fe0d47054673c2c7c2b8ba9238c', '8eb984423234b9267104d5a6d895bdd68bdf9baf', '311406fbca7cb0745e58be0bf8ca8104d146498f']"
059c33f2c5ea4fbecfa01f2eb1c77f678447ca5e,2015.0,[]
05a6755a82d46dfca8a47c32f8c5c84ef8fbb7e7,2009.0,"['1c737785d4d3e6517462ac450e89a1e1ab3f3422', 'a754e311200cfd43837e97ff963b4558ae47ef28', 'a0b39bad97c7c07baa3405027f82a50f7d81b6cb', 'd78310e5d43ec8a72a620ea89748cc5236af05ed', '2a6d0ca166d32f5429b2b850dbe0649a0065ccbd']"
062c44bf60206ba0a6b5dc7d5bf46381514f3cf8,2012.0,"['90ae691bd14a7631860f3a188c15cd3514341c09', '05bdffc24a802fc6787ecc3883f67c114f4b79d9']"
0648cde87ed6b799ab9ae1146dc9a1d5a77f10b7,2016.0,['70eadf4994ca25bfcf9babd962dc9019bdb6510e']
06845944f3c330c5720891173f8bc203427556bb,2010.0,"['5331be31b319e67882994a17c7f90e3ced1a91eb', '3763042a31e9cedc56c5fdae486c543611b5eec8', '8f8dc27c589e5e58613256cf36a89a501b4585cb', '35ec3ee33d6c82a8c932dee20f9f9fea58f253e0', '987b87154d2927ecb9036b926984c63f6064099a', '682f9f76610c93d65ed7c523dad1cf5c4647e967', '58ecd9b422f3f37b8072e919c5d674de72bcd29d', '589053133a6a5c9a12c3d6aba30d4c9ba7745f77', '6d51ee43c76fa58ba809b029ed5f916014565526', '0bb8e829cf1aaf10ee0d01d10e7a32d15d79f708', 'dc0af534278378febb4bc00e8dac51aa11417f9e', 'a699a2b60fd107380d9f5dda95d0db6db6889c08', '32e61eb6efe8b6a1a975d9e14f5fb161c3cbce75']"
07f677914a51f1ee1d1ac9fabb9d05e2eea9f2a7,2016.0,"['460a541705d6e2c5a4e1e09d9a493a7dfc5ee09e', '31e13905c176f87e177929d75b4da34e132ef60b']"
08cddfb0e082f05197e327222d46b2d45342c347,2008.0,"['743dcdb979c57641126e33fc67ad49544f5d0a0c', '358f0df23bce0d36bcf02b7dc5054bd8f477140e', '32d96081643b6f3c10d4282dd858236ff56136c5', '6021c00a6e6f72fbacf9153c5137df0e77d55337']"
0923a95bc889158aaf854bba6a1cbf37b79c9bb4,2011.0,[]
092e6c7131328a8cf42b9f4f7a3da151a3c19abb,2015.0,[]
0a1574b00b7831de97d8384a55d8dc39e84578d3,2014.0,"['ec2106c46b82edd9d019337ddcb0aac81a81c2d3', '0def091627fade56002fa3438fde488e6e6255ea']"
